faction_id,faction,era_id,era,unit_id,unit_name
1,Clan Burrock,11,Early Succession War,2921,Shamash Reconnaissance Vehicle  
1,Clan Burrock,11,Early Succession War,3194,Thorn THE-Nb
1,Clan Burrock,11,Early Succession War,8128,Stinger C 2
1,Clan Burrock,11,Early Succession War,133,Asshur Artillery Spotter  
1,Clan Burrock,11,Early Succession War,135,Asshur Fast Reconnaissance Vehicle  
1,Clan Burrock,11,Early Succession War,3538,Whitworth WTH-1
1,Clan Burrock,11,Early Succession War,109,Ares Medium Tank  
1,Clan Burrock,11,Early Succession War,3597,Wyvern WVE-5N
1,Clan Burrock,11,Early Succession War,1284,Great Wyrm  
1,Clan Burrock,11,Early Succession War,3601,Wyvern IIC  
1,Clan Burrock,11,Early Succession War,1552,Hunchback HBK-4G
1,Clan Burrock,11,Early Succession War,2021,Manticore Heavy Tank  
1,Clan Burrock,11,Early Succession War,7675,Manticore Heavy Tank EC
1,Clan Burrock,11,Early Succession War,7626,Lancelot C
1,Clan Burrock,11,Early Succession War,7638,Vision Quest  
1,Clan Burrock,11,Early Succession War,7627,Lancelot C 2
1,Clan Burrock,11,Early Succession War,533,Cestus CTS-6Y
1,Clan Burrock,11,Early Succession War,939,Eagle EGL-R6b
1,Clan Burrock,11,Early Succession War,9236,Spirit Walker A
1,Clan Burrock,11,Early Succession War,9237,Spirit Walker Prime
1,Clan Burrock,11,Early Succession War,3403,Victor C
1,Clan Burrock,11,Early Succession War,2934,Shogun SHG-2H
1,Clan Burrock,11,Early Succession War,726,Crockett CRK-5003-1b
1,Clan Burrock,11,Early Succession War,2931,Shogun C
1,Clan Burrock,11,Early Succession War,4352,Hydaspes  
1,Clan Burrock,11,Early Succession War,38,Annihilator ANH-1X
1,Clan Burrock,11,Early Succession War,1772,King Crab KGC-000b
1,Clan Burrock,11,Early Succession War,1607,Imp IMP-1A
1,Clan Burrock,11,Early Succession War,3750,Atlas C
1,Clan Burrock,11,Early Succession War,1608,Imp IMP-1B
1,Clan Burrock,11,Early Succession War,1609,Imp IMP-1C
1,Clan Burrock,11,Early Succession War,3222,Thunder Hawk TDK-7X
1,Clan Burrock,11,Early Succession War,1606,Imp C
1,Clan Burrock,255,Late Succession War - LosTech,2921,Shamash Reconnaissance Vehicle  
1,Clan Burrock,255,Late Succession War - LosTech,3194,Thorn THE-Nb
1,Clan Burrock,255,Late Succession War - LosTech,8128,Stinger C 2
1,Clan Burrock,255,Late Succession War - LosTech,1086,Firefly FFL-3SLE
1,Clan Burrock,255,Late Succession War - LosTech,1488,Hermes HER-1Sb
1,Clan Burrock,255,Late Succession War - LosTech,1311,Griffin IIC 2
1,Clan Burrock,255,Late Succession War - LosTech,1310,Griffin IIC  
1,Clan Burrock,255,Late Succession War - LosTech,5160,Sulla (MG)
1,Clan Burrock,255,Late Succession War - LosTech,3597,Wyvern WVE-5N
1,Clan Burrock,255,Late Succession War - LosTech,2912,Shadow Hawk IIC 2
1,Clan Burrock,255,Late Succession War - LosTech,3118,Sulla B
1,Clan Burrock,255,Late Succession War - LosTech,3117,Sulla A
1,Clan Burrock,255,Late Succession War - LosTech,3121,Sulla Prime
1,Clan Burrock,255,Late Succession War - LosTech,3119,Sulla C
1,Clan Burrock,255,Late Succession War - LosTech,228,Bandit (C) Hovercraft Prime
1,Clan Burrock,255,Late Succession War - LosTech,223,Bandit (C) Hovercraft D
1,Clan Burrock,255,Late Succession War - LosTech,220,Bandit (C) Hovercraft A
1,Clan Burrock,255,Late Succession War - LosTech,221,Bandit (C) Hovercraft B
1,Clan Burrock,255,Late Succession War - LosTech,222,Bandit (C) Hovercraft C
1,Clan Burrock,255,Late Succession War - LosTech,3322,Turk B
1,Clan Burrock,255,Late Succession War - LosTech,3321,Turk A
1,Clan Burrock,255,Late Succession War - LosTech,3323,Turk C
